Name,Address,Suburb,Postcode,State,Latitude,Longitude,,,,Business Category,LGA,Region
Alexandra and District Pony Club,William Street,Alexandra,3714,VIC,-37.185247,145.709242,,,,Pony Club,Murrindindi (S),Hume Region
Apollo Bay Pony Club,Apollo Bay Recreation Reserve,Apollo Bay,3233,VIC,-38.757167,143.669613,,,,Pony Club,Colac-Otway (S),Barwon South Western Region
Apsley Pony Club,7042 Casterton-Naracoorte Road,Langkoop,3318,VIC,-37.095835,141.040295,,,,Pony Club,West Wimmera (S),Grampians Region
Ararat Bay Pony Club,Elizabeth Street ,Ararat,3377,VIC,-37.29196,142.9381,,,,Pony Club,Ararat (RC),Grampians Region
Bacchus Marsh Pony Club,Balliang-Bacchus Marsh Road,Bacchus Marsh,3340,VIC,-37.693248,144.410999,,,,Pony Club,Wyndham (C); Moorabool (S); Melton (S),Grampians Region
Bairnsdale Pony Club,Racecourse Road,Bairnsdale,3875,VIC,-37.846211,147.594968,,,,Pony Club,East Gippsland (S),
Ballan Pony Club,Ballan Racecourse Reserve,Ballan,3342,VIC,-37.599687,144.226054,,,,Pony Club,Moorabool (S),Grampians Region
Ballarat Pony Club, Victoria Park,Ballarat,3350,VIC,-37.56361,143.821024,,,,Pony Club,Ballarat (C); Ballarat (C),Grampians Region; Grampians Region
Balnarring Pony Club,Balnarring Pony Club Grounds,Bittern,3918,VIC,-38.340744,145.173309,,,,Pony Club,Mornington Peninsula (S),Southern Metropolitan Region
Bamawm Pony Club,Bamawm Extension Recreation Reserve ,Bamawm,3561,VIC,-36.256503,144.563145,,,,Pony Club,Campaspe (S),Loddon-Mallee Region
Barwon Heads and District Pony Club,Barwon Heads Village Park ,Barwon Heads,3227,VIC,-38.273002,144.48345,,,,Pony Club,,
Barwon Valley Pony Club,Reservoir Road,Moriac,3240,VIC,-38.219187,144.210844,,,,Pony Club,Surf Coast (S),Barwon South Western Region
Bealiba Pony Club,Bealiba Recreation Reserve,Bealiba,3475,VIC,-36.787775,143.551377,,,,Pony Club,Central Goldfields (S),Loddon-Mallee Region
Beaufort and District Pony Club,Raglan Recreation Reserve,Raglan,3373,VIC,-37.36185,143.345289,,,,Pony Club,Pyrenees (S),Grampians Region
Beechworh - Murmungee Pony Club,Murmungee Recreation Reserve,Murmungee,3747,VIC,-36.447157,146.678918,,,,Pony Club,Wangaratta (RC),Hume Region
Bendigo Pony Club,Cnr Breen Street and Belle Vue Road ,Golden Square,3555,VIC,-36.776437,144.267351,,,,Pony Club,Greater Bendigo (C),Grampians Region
Bethanga Pony Club,Bethanga Recreational Reserve,Bethanga,3691,VIC,-36.121117,147.100126,,,,Pony Club,Towong (S),Hume Region
Beveridge and District Pony Club,Beveridge Reserve,Beveridge,3753,VIC,-37.471857,145.000527,,,,Pony Club,Mitchell (S),Hume Region
Boolarra Pony Club,Memorial Park,Boolarra,3870,VIC,-38.3857,146.278482,,,,Pony Club,Wellington (S); Latrobe (C),Gippsland Region
Branxholme and District Pony Club,Wallacedale Recreation Reserve,Branxholme,3302,VIC,-37.861348,141.801516,,,,Pony Club,Southern Grampians (S),Barwon South Western Region
Bright and District Pony Club,Pioneer Park Reserve,Bright,3741,VIC,-36.738169,146.972457,,,,Pony Club,Alpine (S),Hume Region
Broadford and District Pony Club,Broadford Common,Broadford,3658,VIC,-37.219304,145.050472,,,,Pony Club,Mitchell (S),Hume Region
Buchan Pony Club, Recreation Reserve,Buchan,3885,VIC,-37.496175,148.17353,,,,Pony Club,East Gippsland (S),Gippsland Region
Bullengarook Pony Club,Bullengarook Recreation Reserve,Bullengarook,3437,VIC,-37.482296,144.521849,,,,Pony Club,Macedon Ranges (S),Loddon-Mallee Region
Bushy Park Pony Club,Wandocka Reserve,Denison,3858,VIC,-38.012497,146.808655,,,,Pony Club,Wellington (S),Gippsland Region
Caniambo and District Pony Club,Bridge Road,Caniambo,3631,VIC,-36.42126,145.631608,,,,Pony Club,Greater Shepparton (C),Hume Region
Cann River Pony Club,Noorinbee Recreation Reserve,Noorinbee,3890,VIC,-37.508591,149.173591,,,,Pony Club,East Gippsland (S),Gippsland Region
Castlemaine Pony Club,Wattle Flat Reserve,Castlemaine,3450,VIC,-37.048301,144.207632,,,,Pony Club,Mount Alexander (S),Loddon-Mallee Region
Charlton Pony Club,Charlton Common,Charlton,3525,VIC,-36.26382,143.405588,,,,Pony Club,Buloke (S),Loddon-Mallee Region
Chelsea Pony Club,Broadway,Bonbeach,3196,VIC,-38.058203,145.125415,,,,Pony Club,Kingston (C),Southern Metropolitan Region
Cobblers Creek Pony Club,Cnr of Forge Creek and Racecourse Road,Bairnsdale,3875,VIC,-37.8475,147.605288,,,,Pony Club,East Gippsland (S),Gippsland Region
Cobram and District Pony Club,Muckatah Recreation Reserve,Muckatah,3644,VIC,-36.014364,145.647727,,,,Pony Club,Moira (S),Hume Region
